target,primary_path,retrieved_at,content_hash,status,notes,clean_path,clean_applied,noise_type
note171,note171,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note171.txt,True,
note172,note172,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note172.txt,True,
note173,note173,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note173.txt,True,
note174,note174,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note174.txt,True,
note175,note175,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note175.txt,True,
note176,note176,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note176.txt,True,
note177,note177,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note177.txt,True,
note178,note178,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note178.txt,True,
note179,note179,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note179.txt,True,
web154,web154,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web154.txt,True,
web156,web156,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web156.txt,True,
web180,web180,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web180.txt,True,
web181,web181,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web181.txt,True,
web182,web182,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web182.txt,True,
web183,web183,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web183.txt,True,
web184,web184,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web184.txt,True,
web185,web185,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web185.txt,True,
web186,web186,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web186.txt,True,
web188,web188,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web188.txt,True,
web189,web189,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web189.txt,True,
web190,web190,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web190.txt,True,
web191,web191,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web191.txt,True,
web192,web192,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web192.txt,True,
web193,web193,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web193.txt,True,
web195,web195,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web195.txt,True,
web196,web196,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web196.txt,True,
web197,web197,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web197.txt,True,
vol01,vol01,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
ir_report,ir_report.pdf,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
web194,web194,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web194.txt,True,
web198,web198,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web198.txt,True,
web199,web199,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web199.txt,True,
web200,web200,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web200.txt,True,
web201,web201,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web201.txt,True,
web202,web202,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web202.txt,True,
web203,web203,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web203.txt,True,
web204,web204,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web204.txt,True,
web205,web205,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web205.txt,True,
web206,web206,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web206.txt,True,
web207,web207,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web207.txt,True,
web208,web208,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web208.txt,True,
web209,web209,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web209.txt,True,
web210,web210,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web210.txt,True,
web211,web211,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web211.txt,True,
web213,web213,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web213.txt,True,
web214,web214,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web214.txt,True,
web215,web215,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web215.txt,True,
web216,web216,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web216.txt,True,
web217,web217,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web217.txt,True,
web218,web218,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web218.txt,True,
note162,note162,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note162.txt,True,
note163,note163,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note163.txt,True,
note223,D:\r8_strategy\corpus\phase2\scan\note223.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note223.txt,True,
sn231,corpus\phase2\scan\sn231.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn231.txt,True,
sn230,D:\r8_strategy\corpus\phase2\scan\sn230.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn230.txt,True,
sn232,sn232,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn232.txt,True,
sn233,D:\r8_strategy\corpus\phase2\scan\sn233.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn233.txt,True,
book_byousokude_itiokuenkasegujouken_1遶,corpus\book\byousokude_itiokuenkasegujouken\1遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_2遶,corpus\book\byousokude_itiokuenkasegujouken\2遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_3遶,corpus\book\byousokude_itiokuenkasegujouken\3遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_4遶,corpus\book\byousokude_itiokuenkasegujouken\4遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_5遶,corpus\book\byousokude_itiokuenkasegujouken\5遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_6遶,corpus\book\byousokude_itiokuenkasegujouken\6遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_7遶,corpus\book\byousokude_itiokuenkasegujouken\7遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_1遶,corpus\book\butinukutikara\1遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_2遶,corpus\book\butinukutikara\2遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_3遶,corpus\book\butinukutikara\3遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_4遶,corpus\book\butinukutikara\4遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_5遶,corpus\book\butinukutikara\5遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_6遶,corpus\book\butinukutikara\6遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch1,corpus\book\kimiwanazehatarakuka\ch1.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch2,corpus\book\kimiwanazehatarakuka\ch2.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch3,corpus\book\kimiwanazehatarakuka\ch3.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch4,corpus\book\kimiwanazehatarakuka\ch4.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch5,corpus\book\kimiwanazehatarakuka\ch5.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch6,corpus\book\kimiwanazehatarakuka\ch6.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch1,corpus\book\kyouikunohoukai\ch1.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch2,corpus\book\kyouikunohoukai\ch2.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch3,corpus\book\kyouikunohoukai\ch3.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch4,corpus\book\kyouikunohoukai\ch4.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch5,corpus\book\kyouikunohoukai\ch5.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
sn236,corpus\corpus_archive\sn236.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn236.txt,True,
